name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Dublin, Ireland",2023-04-01T00:00:00,8.9,6,8.2,95.3,0,0,,0,0,35.6,20,277,1001.1,90.3,11.7,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T01:00:00,8.9,6.6,8.2,95.14,4.983,100,rain,0,0,34.9,15.1,282,1001.7,92.2,12.8,0,0,0,,"Rain, Overcast",rain,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T02:00:00,8.8,6,8.1,95.3,0,0,,0,0,36,18.9,267,1002.2,90.4,11.8,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T03:00:00,8.8,6.2,8.1,95.3,0,0,,0,0,36.4,16.5,274,1002.3,90.4,12.1,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T04:00:00,8.8,6.5,8,95.3,0,0,,0,0,36,14.3,286,1002.7,90.4,12.2,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T05:00:00,8.3,5.7,7.9,97.32,0,0,,0,0,34.6,16.3,284,1003.3,90.4,11.8,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T06:00:00,8.1,5.8,7.9,98.42,0,0,,0,0,34.6,13.5,281,1003.8,92.2,12.7,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T07:00:00,8.2,5.8,7.9,98.25,3.733,100,rain,0,1,33.5,14.3,302,1004.6,92.2,7.2,0,0,0,,"Rain, Overcast",rain,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T08:00:00,8.1,5.7,7.8,98.24,0,0,,0,0,31.7,13.7,346,1006.1,92.2,8,15,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T09:00:00,8,5.9,7.3,95.68,0,0,,0,0,32.4,11.7,359,1007.3,94.2,9.3,29,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T10:00:00,8.4,6.7,7.8,96.27,0,0,,0,0,29.2,10.1,354,1008.4,94.3,7.3,49,0.2,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T11:00:00,9.1,7.1,8.2,94.1,0,0,,0,0,25.9,12.6,352,1009.4,94.2,8.7,174,0.6,2,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T12:00:00,9.7,7.8,7.8,87.92,0,0,,0,0,25.9,13.6,350,1010.4,94.2,15.2,203,0.7,2,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T13:00:00,10.3,10.3,7.9,85.23,2.244,100,rain,0,0,25.2,14.3,3,1011.4,93,21.7,206,0.7,2,,"Rain, Overcast",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T14:00:00,10.9,10.9,8.1,82.79,0,0,,0,0,27.7,14,354,1012.3,90.3,21.8,280,1,3,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T15:00:00,10.9,10.9,7.8,81,0,0,,0,0,27,15.1,360,1013.3,90.3,19.1,198,0.7,2,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T16:00:00,10,8.2,7.8,86.1,0,0,,0,0,28.8,13,37,1014.3,94.2,5.1,46,0.2,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T17:00:00,9.7,7.9,8,89.04,0,0,,0,0,28.1,12.5,28,1015.4,93,5.8,54,0.2,1,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T18:00:00,9.4,7.1,7.9,90.39,0,0,,0,0,36.4,15,338,1016.5,94.2,5.1,36,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T19:00:00,8.8,5,7.4,91.21,2.987,100,rain,0,0,39.2,30.5,320,1017.8,94.2,5.8,22,0.1,0,,"Rain, Overcast",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T20:00:00,8.3,5,6.6,89.13,0,0,,0,0,33.8,23.1,320,1019.2,93,13.3,18,0.1,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T21:00:00,8.1,4.8,5.8,85.51,0,0,,0,0,35.3,21.8,317,1020.3,88.3,15.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T22:00:00,7.9,4.9,5.1,82.76,0,0,,0,0,36,18.2,304,1021.3,88,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-01T23:00:00,7.9,5,5,81.97,0,0,,0,0,36.7,17.9,307,1022.1,89,15.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T00:00:00,7.9,4.6,5.5,84.51,0,0,,0,0,36.7,21.1,307,1022.7,92.1,15.2,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T01:00:00,7.7,4.7,5.6,86.49,0.149,100,rain,0,0,36.4,17.5,307,1023.3,88.9,15.3,0,0,0,,"Rain, Partially cloudy",rain,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T02:00:00,7.7,4.6,5.9,88.38,0,0,,0,0,35.3,18.9,307,1024.2,88.3,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T03:00:00,7.2,4.5,5.8,90.44,0,0,,0,0,33.8,15.5,323,1024.4,88.3,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T04:00:00,7,4.7,5.7,91.08,0,0,,0,0,32,12.1,303,1025.4,88.8,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T05:00:00,6.6,4.1,5.6,93.36,0,0,,0,0,28.1,12.9,309,1025.6,92.2,7.3,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T06:00:00,6.1,3.7,5.5,96.05,0,0,,0,0,24.1,11.6,302,1026.2,92.2,10.8,0,0,0,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T07:00:00,6.1,3.5,5.6,96.91,0,0,,0,0,20.5,12.2,302,1026.6,92.2,6.5,5,0,0,,Overcast,cloudy,"03971099999,F4343,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T08:00:00,6.4,4.6,5.9,96.64,0,0,,0,0,23.4,8.6,304,1027.6,89.1,5.1,25,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T09:00:00,6.9,5.6,6.1,94.34,0,0,,0,0,24.1,7.4,321,1028.4,92.2,8.9,47,0.2,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T10:00:00,8.1,6.8,7,92.74,0,0,,0,0,22.7,8,43,1028.5,92.2,15.3,105,0.4,1,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T11:00:00,9,8.6,6.4,83.55,0,0,,0,0,23.8,5.3,359,1029.2,85.1,20.5,172,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T12:00:00,9.6,9,6.4,80.16,0,0,,0,0,23,6.3,1,1029.3,85.1,25.7,183,0.7,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T13:00:00,10.5,10.5,6,73.94,0.299,100,rain,0,0,19.1,11.3,82,1029.3,85.1,26.3,458,1.6,5,,"Rain, Partially cloudy",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T14:00:00,10.4,10.4,6.7,78.03,0,0,,0,0,21.2,14.3,84,1029.4,85.2,26.4,561,2,6,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T15:00:00,10.9,10.9,5.7,70.39,0,0,,0,0,23.8,16.3,89,1029.4,83.7,26.4,542,2,5,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T16:00:00,10.5,10.5,5.5,71.01,0,0,,0,0,23.8,14,91,1029.4,85.1,26.4,463,1.7,5,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T17:00:00,10.4,10.4,4.9,68.86,0,0,,0,0,25.9,13.1,98,1029.2,85,26.3,354,1.3,4,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T18:00:00,9.4,6.8,5.3,75.53,0,0,,0,0,26.6,17.9,87,1029.1,85.1,26.4,196,0.7,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T19:00:00,8.1,5.5,4.6,78.95,0,0,,0,0,24.8,15.3,90,1029.2,85.1,25.7,79,0.3,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
"Dublin, Ireland",2023-04-02T20:00:00,7.3,4.7,4.1,80.52,0,0,,0,0,22.3,14,107,1029.4,84.6,28.6,26,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999"
